,query,url
0,респиратор,catalog/respiratory/
1,шуруповерт,catalog/akkumulyatornye-dreli-shurupoverty/
2,компрессор,catalog/kompressory/
3,генератор,catalog/5-81/
4,степлер,catalog/steplery/
5,лобзик,catalog/lobziky/
6,перфоратор,catalog/perforatory/
7,магнит,catalog/8-791/0/
8,реноватор,catalog/mnogofunkcionalnyi-instrument/
9,dewalt,producer/dewalt/
10,tesla,producer/tesla/
11,фрезер,catalog/2-45/0/
12,краскопульт,catalog/kraskopulty/
13,снегоуборщик,catalog/snegouborschiki/
14,мультиметр,catalog/multimetry-testery/
15,metabo,producer/metabo/
16,makita,producer/makita/
17,пылесос,catalog/pylesosy/
18,плиткорез,catalog/ehlektro-plitkorezy/
19,терморегулятор,catalog/termoreguljatory/
20,einhell,producer/einhell/
21,домкрат,catalog/domkraty/
22,топор,catalog/topory/
23,конвектор,catalog/konvektory/
24,штроборез,catalog/shtroborezy/
25,гайковерт,catalog/gajkoverty/
26,станок,catalog/9-0/
27,насос,catalog/nasosy/
28,dremel,producer/dremel/
29,паяльник,catalog/pajalniki/
30,стабилизатор,catalog/stabilizatory-naprjazhenija/
31,органайзер,catalog/organaizery/
32,триммер,catalog/trimmery/
33,гравер,catalog/gravery/
34,karcher,producer/karcher/
35,bosch,producer/bosch/
36,бокорезы,catalog/bokorezy/
37,hammer,producer/hammer/
38,stihl,producer/stihl/
39,тепловентилятор,catalog/teploventiljatory-obogrevateli/
40,кримпер,catalog/krimpery/
41,молоток,catalog/molotki/
42,ryobi,producer/ryobi/
43,миксер,catalog/stroitelnyye-miksery/
44,провод,catalog/provoda-kabeli/
45,ballu,producer/ballu/
46,энергия,/producer-2163/
47,рубанок,catalog/rubanki/
48,электроды,catalog/jelektrody/
49,электроды,catalog/instrumenty-santehnika/
50,арсенал,/producer-1576/
51,fiskars,producer/fiskars/
52,milwaukee,producer/milwaukee/
53,jonnesway,producer/jonnesway/
54,колун,catalog/topory-koluny/
55,квт,producer-1392/
56,полуавтомат,catalog/svarochnie-poluavtomati/
57,worx,producer/worx/
58,лайма,/producer-3162/
59,wester,producer/wester/
60,мотобур,catalog/motobury/
61,stanley,producer/stanley/
62,верстак,catalog/verstaki/
63,фен,catalog/stroitelnye-feny/
64,шуруповёрт,catalog/akkumulyatornye-dreli-shurupoverty/
65,ombra,producer/ombra/
66,greenworks,/producer-1992/
67,kraftool,producer/kraftool/
68,генераторы,catalog/5-81/
69,стриппер,catalog/kleshhi-dlja-snjatija-izoljacii/
70,стриппер,catalog/klewi/
71,заклепочник,catalog/zaklepochniki/
72,прожектор,catalog/prozhektory/
73,бур,catalog/bury/
74,вибратор,catalog/glubinnye-vibratory/
75,вибратор,catalog/vibroplity/
76,нева,/producer-2027/
77,вентилятор,catalog/ventiljatory/
78,kapro,producer/kapro/
79,конвекторы,catalog/konvektory/
80,напильник,catalog/napilniki/
81,гриндер,catalog/lentochno-shlifovalnye-stanki/
82,мотокультиватор,catalog/kultivatory/
83,распиратор,catalog/respiratory/
84,мультитул,catalog/Multitools/
85,толщиномер,catalog/tolshhinomer/
86,толщиномер,catalog/Other-measuring-instruments/
87,husqvarna,producer/husqvarna/
88,тепловизор,catalog/teplovizory/
89,зенкер,catalog/zenkera/
90,трубогиб,catalog/trubogib/
91,триммера,catalog/trimmery/
92,угломер,catalog/uglomery-uklonomery/
93,лепсе,/producer-2235/
94,рейсмус,catalog/stanki-rejsmusovye/
95,рейсмус,catalog/linejki-shtangencirkuli/
96,бита,catalog/bity/
97,герметик,catalog/germetiki/
98,мегадор,producer/megador/
99,кондуктор,catalog/konduktory-dlya-sverleniya/
100,зубр,producer/zubr/
101,нейлер,catalog/steplery-pnevmaticheskie/
102,клещи,catalog/klewi/
103,fubag,producer/fubag/
104,угольник,catalog/ugolniki/
105,профклей,/producer-2249/
106,манометр,catalog/manometri/
107,станки,catalog/9-0/
108,thorvik,/producer-2056/
109,пирометр,catalog/izmeriteli-temperatury/
110,бензогенератор,catalog/benzinovye-generatory/
111,вольтметр,catalog/multimetry-testery/
112,экстрактор,catalog/extractors/
113,knipex,producer/knipex/
114,мотоблок,catalog/motobloki/
115,мотоблок,catalog/kultivatory_motobloki/
116,электролобзик,catalog/lobziky/
117,elitech,producer/elitech/
118,timberk,producer/timberk/
119,wago,/producer-1601/
120,биты,catalog/bity/
121,подарочный сертификат 220 вольт,/producer-2306/
122,шнурка,catalog/sumki/
123,компрессометр,catalog/diagnostika-avtomobilya/
124,секатор,catalog/sekatory-suchkorezy/
125,труборез,catalog/truborezy/
126,тестер,catalog/multimetry-testery/
127,skrab,producer/skrab/
128,aurora,producer/aurora/
129,диммер,catalog/jelektroustanovka/
130,радиатор,catalog/radiatory-otoplenija/
131,патрон,catalog/patrony-dlja-drelej/
132,метчик,catalog/metchiki/
133,дальномер,catalog/dalnomery/
134,счетчик,catalog/schetchiki-litrov/
135,компресор,catalog/kompressory/
136,carver,producer/carver/
137,саморез,catalog/samorezy/
138,саморез,catalog/samorezy-i-shurupy/
139,валик,catalog/valiki-i-roliki-maliarnye/
140,thetford,producer/Thetford/
141,уголок,catalog/perforirovannye-ugolki/
142,poxipol,producer-1283/
143,фитинг,catalog/fitingy-pnevmaticheskiye/
144,инвертор,catalog/svarochie-apparati-invertori/
145,инвертор,catalog/preobrazovateli-naprjazhenija-invertory/
146,gross,producer/gross/
147,респиратор респиратор,catalog/respiratory/
148,плазморез,catalog/apparaty-plazmennoj-rezki/
149,плазморез,catalog/5-83/0/
150,ваго,/producer-1601/
151,саморезы,catalog/samorezy/
152,саморезы,catalog/samorezy-i-shurupy/
153,подшипник,catalog/podshipniki/
154,berger,producer/berger/
155,kress,producer/kress/
156,споттер,catalog/oborudovanie-dlya-remonta-kuzova/
157,stabila,producer/stabila/
158,стружкоотсос,catalog/struzhkootsosy/
159,победа,/producer-2684/
160,электрорубанок,catalog/2-44/0/
161,палитра,/producer-1764/
162,палитра,/producer-1763/
163,нивелир,catalog/niveliry/
164,болт,catalog/bolti/
165,стружкоотсосы,catalog/struzhkootsosy/
166,ящик,catalog/sumki-chehly-kejsy/
167,wera,producer/wera/
168,military,/producer-2080/
169,наушники,catalog/naushniki/
170,gardena,producer/gardena/
171,eps,producer/eps/
172,ибп,catalog/istochniki-besperebojnogo-pitanija/
173,фонарик,catalog/fonari/
174,kemppi,producer/Kemppi/
175,топоры,catalog/topory/
176,клупп,catalog/kluppi/
177,клупп,catalog/instrumenty-santehnika/
178,force,/producer-2468/
179,пинцет,catalog/prochij-ruchnoj-instrument/
180,костюм,catalog/kostiumy/
181,лом,catalog/lomy/
182,лом,catalog/gvozdodery-lomy-montirovki/
183,hitachi,producer/hitachi/
184,interskol,producer/interskol/
185,iek,producer/iek/
186,гравера,catalog/gravery/
