,query,url
0,респиратор,catalog/respiratory/
1,шуруповерт,catalog/akkumulyatornye-dreli-shurupoverty/
2,болгарка,catalog/2-46/0/
3,компрессор,catalog/kompressory/
4,генератор,catalog/5-81/
5,степлер,catalog/steplery/
6,лобзик,catalog/lobziky/
7,бензопила,catalog/benzopily/
8,перфоратор,catalog/perforatory/
9,реноватор,catalog/mnogofunkcionalnyi-instrument/
10,dewalt,producer/dewalt/
11,фрезер,catalog/2-45/0/
12,краскопульт,catalog/kraskopulty/
13,снегоуборщик,catalog/snegouborschiki/
14,мультиметр,catalog/multimetry-testery/
15,ушм,catalog/2-46/0/
16,пылесос,catalog/pylesosy/
17,плиткорез,catalog/ehlektro-plitkorezy/
18,гирлянда,catalog/girlyandy/
19,терморегулятор,catalog/termoreguljatory/
20,einhell,producer/einhell/
21,бензопилы,catalog/benzopily/
22,сверло,catalog/sverla/
23,домкрат,catalog/domkraty/
24,струбцина,catalog/strubciny/
25,тиски,catalog/tiski/
26,топор,catalog/topory/
27,конвектор,catalog/konvektory/
28,штроборез,catalog/shtroborezy/
29,гайковерт,catalog/gajkoverty/
30,станок,catalog/9-0/
31,насос,catalog/nasosy/
32,дрель,catalog/elektricheskiye-dreli/
33,dremel,producer/dremel/
34,паяльник,catalog/pajalniki/
35,кабель,catalog/provoda-kabeli/
36,фреза,catalog/frezy/
37,стабилизатор,catalog/stabilizatory-naprjazhenija/
38,водонагреватель,catalog/5019-0/
39,пила,catalog/nozhovki-ruchnye/
40,органайзер,catalog/organaizery/
41,триммер,catalog/trimmery/
42,обогреватель,catalog/5008-0/
43,гравер,catalog/gravery/
44,розетка,catalog/rozetki/
45,karcher,producer/karcher/
46,стремянка,catalog/stairs-ladders-towers/
47,bosch,producer/bosch/
48,бокорезы,catalog/bokorezy/
49,hammer,producer/hammer/
50,перчатки,catalog/perchatki-rabochie-rukavitcy/
51,stihl,producer/stihl/
52,тепловентилятор,catalog/teploventiljatory-obogrevateli/
53,точило,catalog/tochila/
54,опрыскиватель,catalog/opryskivateli/
55,кримпер,catalog/krimpery/
56,канистра,catalog/kanistry/
57,молоток,catalog/molotki/
58,рулетка,catalog/ruletki/
59,штангенциркуль,catalog/shtangentcirkuli/
60,штангенциркуль,catalog/linejki-shtangencirkuli/
61,фонарь,catalog/fonari/
62,лампа,catalog/lampy/
63,миксер,catalog/stroitelnyye-miksery/
64,бетономешалка,catalog/betonomeshalki/
65,провод,catalog/provoda-kabeli/
66,стусло,catalog/ruchnoe-stuslo/
67,удлинитель,catalog/udliniteli/
68,коронка,catalog/koronki-chashki/
69,пилы,catalog/nozhovki-ruchnye/
70,рубанок,catalog/rubanki/
71,электроды,catalog/jelektrody/
72,электроды,catalog/instrumenty-santehnika/
73,fiskars,producer/fiskars/
74,торцовочная,catalog/torcovochnye-pily/
75,полотенцесушитель,catalog/polotencesushiteli/
76,колун,catalog/topory-koluny/
77,квт,producer-1392/
78,полуавтомат,catalog/svarochnie-poluavtomati/
79,worx,producer/worx/
80,wester,producer/wester/
81,мотобур,catalog/motobury/
82,отвертка,catalog/otvertki/
83,верстак,catalog/verstaki/
84,вытяжка,catalog/vyatazhki/
85,фен,catalog/stroitelnye-feny/
86,шуруповёрт,catalog/akkumulyatornye-dreli-shurupoverty/
87,greenworks,/producer-1992/
88,kraftool,producer/kraftool/
89,генераторы,catalog/5-81/
90,стриппер,catalog/kleshhi-dlja-snjatija-izoljacii/
91,стриппер,catalog/klewi/
92,заклепочник,catalog/zaklepochniki/
93,прожектор,catalog/prozhektory/
94,газонокосилка,catalog/gazonokosilki/
95,лопата,catalog/lopaty/
96,бур,catalog/bury/
97,вибратор,catalog/glubinnye-vibratory/
98,вибратор,catalog/vibroplity/
99,вилка,catalog/vilki/
100,пассатижи,catalog/passatizhi/
101,пассатижи,catalog/passatizhi-ploskogubcy/
102,вентилятор,catalog/ventiljatory/
103,конвекторы,catalog/konvektory/
104,напильник,catalog/napilniki/
105,гриндер,catalog/lentochno-shlifovalnye-stanki/
106,сверла,catalog/sverla/
107,мотокультиватор,catalog/kultivatory/
108,борфреза,catalog/borfrezy/
109,борфреза,catalog/nasadki/
110,распиратор,catalog/respiratory/
111,пушка,catalog/teplovye-pushki/
112,мультитул,catalog/Multitools/
113,толщиномер,catalog/tolshhinomer/
114,толщиномер,catalog/Other-measuring-instruments/
115,проволока,catalog/provoloka-svarochnaja/
116,фрезы,catalog/frezy/
117,тепловизор,catalog/teplovizory/
118,зенкер,catalog/zenkera/
119,щетки,catalog/wetki-ugolnye/
120,трубогиб,catalog/trubogib/
121,виброплита,catalog/vibroplity/
122,маска,catalog/svarochnye-maski/
123,триммера,catalog/trimmery/
124,угломер,catalog/uglomery-uklonomery/
125,масло,catalog/masla-smazki-tehnicheskaja-himija/
126,цепь,catalog/pilnye-tsepi/
127,рейсмус,catalog/stanki-rejsmusovye/
128,рейсмус,catalog/linejki-shtangencirkuli/
129,таль,catalog/tali-telfery/
130,бита,catalog/bity/
131,герметик,catalog/germetiki/
132,краска,catalog/lakokrasochnye-materialy/
133,краска,catalog/avtokosmetika-avtohimiya/
134,мегадор,producer/megador/
135,кондуктор,catalog/konduktory-dlya-sverleniya/
136,зубр,producer/zubr/
137,нейлер,catalog/steplery-pnevmaticheskie/
138,щетка,catalog/wetki-ugolnye/
139,клещи,catalog/klewi/
140,циркулярная,catalog/pily-cirkuljarnye/
141,fubag,producer/fubag/
142,угольник,catalog/ugolniki/
143,воздуходувка,catalog/vozduhoduvki/
144,электропила,catalog/pily-cepnye-elektricheskie/
145,манометр,catalog/manometri/
146,станки,catalog/9-0/
147,thorvik,/producer-2056/
148,штангельциркуль,catalog/shtangentcirkuli/
149,пирометр,catalog/izmeriteli-temperatury/
150,бензогенератор,catalog/benzinovye-generatory/
151,вольтметр,catalog/multimetry-testery/
152,экстрактор,catalog/extractors/
153,отвертки,catalog/otvertki/
154,knipex,producer/knipex/
155,мотоблок,catalog/motobloki/
156,мотоблок,catalog/kultivatory_motobloki/
157,электролобзик,catalog/lobziky/
158,elitech,producer/elitech/
159,выключатель,catalog/vykljuchateli-sveta/
160,timberk,producer/timberk/
161,лебедка,catalog/lebedki-tali/
162,сумка,catalog/sumki-dlya-instrumenta/
163,пена,catalog/30-951/0/
164,биты,catalog/bity/
165,компрессометр,catalog/diagnostika-avtomobilya/
166,секатор,catalog/sekatory-suchkorezy/
167,труборез,catalog/truborezy/
168,припой,catalog/6-974/
169,тестер,catalog/multimetry-testery/
170,узо,catalog/avtomaticheskie-vykljuchateli/
171,skrab,producer/skrab/
172,краски,catalog/lakokrasochnye-materialy/
173,краски,catalog/avtokosmetika-avtohimiya/
174,очки,catalog/zashchitnye-ochki/
175,мешки,catalog/8-795/0/
176,диммер,catalog/jelektroustanovka/
